Bad Aibling Kurpark;;;;;;8000696
Bad Arolsen;Arolsen Bad;;;;;8000609
Bad Bellingen;Bellingen Bad;;;;;8000864
Bad Belzig;BEL-;Belzig Bad;;;;8010031
Bad Bentheim;Bentheim Bad;;;;;8000879
Bad Bentheim(Gr);Bentheim(Gr) Bad;;;;;8000151
Bad Bergzabern;BZA;Bergzabern Bad;;;;8000691
Bad Berka;Berka Bad;;;;;8011066
Bad Berka Zeughausplatz;;;;;;8011067
Bad Berleburg;BLB;Berleburg Bad;;;;8000907
Bad Bevensen;Bevensen Bad;;;;;8000935
Bad Birnbach;Birnbach Bad;;;;;8000988
Bad Blankenburg(Thüringerw);Blankenburg(Th) Bad;;;;;8010014
Bad Bodendorf;Sinzig-Bad Bodendorf;Bodendorf Bad;;;;8001049
Bad Bodenteich;Bodenteich Bad;;;;;8001052
Bad Brambach;Brambach Bad;;;;;8011068
Bad Bramstedt;Bramstedt Bad;;;;;8007058
Bad Bramstedt Kurhaus;Bramstedt Kurh. Bad;;;;;8007057
Bad Breisig;Breisig Bad;;;;;8000694
Bad Breisig KD;Breisig SF Bad;;;;;8075948
Bad Camberg;Camberg Bad;;;;;8001322
Bad Doberan;DBR;Doberan Bad;;;;8010016
Bad Doberan Goethestraße;Doberan Goethes Bad;;;;;8011069
Bad Doberan Stadtmitte;Doberan Stadtmi. Bad;;;;;8081085
Bad Driburg(Westf);Driburg(Westf) Bad;;;;;8000697
Bad Düben(Mulde);Düben(Mulde) Bad;;;;;8011070
Bad Dürkheim;DÜW;Dürkheim Bad;;;;8000698
Bad Dürkheim-Trift;Dürkheim-Trift Bad;;;;;8000708
Bad Dürrenberg;Dürrenberg Bad;;;;;8011071
Bad Elster;Elster Bad;;;;;8011072
Bad Empfing;Empfing Bad;;;;;8000700
Bad Ems;Ems Bad;;;;;8000701
Bad Ems West;Ems West Bad;;;;;8000702
Bad Endorf;Endorf Bad;;;;;8001787
Bad Fallingbostel;FAL;Fallingbostel Bad;;;;8001958
Bad Freienwalde;FRW;Freienwalde Bad;;;;8010017
Bad Friedrichshall Hbf;Bad Friedrichshall-Jagstfeld;Friedrichshall-Jagstfeld Bad;;;;8000017
Bad Friedrichshall-Kochendorf;Kochendorf(Bad Frie);Friedrichshall-K Bad;;;;8000704
Bad Gandersheim;Gandersheim Bad;;;;;8000352
Bad Griesbach(Schwarzwald);Griesbach(Schw) Bad;;;;;8000707
Bad Grönenbach;Grönenbach Bad;;;;;8002378
Bad Harzburg;Harzburg Bad;;;;;8000019
Bad Herrenalb;Herrenalb Bad;;;;;8007011
